name	class_name	signature	hover
_accessibility_get_contextual_info	Control	_accessibility_get_contextual_info() -> String	Return the description of the keyboard shortcuts and other contextual help for this control.
_activate_feed	CameraFeed	_activate_feed() -> bool	Called when the camera feed is activated.
_add_constant_central_force	PhysicsDirectBodyState2DExtension	_add_constant_central_force(force: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.add_constant_central_force].
_add_constant_central_force	PhysicsDirectBodyState3DExtension	_add_constant_central_force(force: Vector3) -> void	
_add_constant_force	PhysicsDirectBodyState2DExtension	_add_constant_force(force: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.add_constant_force].
_add_constant_force	PhysicsDirectBodyState3DExtension	_add_constant_force(force: Vector3, position: Vector3) -> void	
_add_constant_torque	PhysicsDirectBodyState2DExtension	_add_constant_torque(torque: float) -> void	Overridable version of [method PhysicsDirectBodyState2D.add_constant_torque].
_add_constant_torque	PhysicsDirectBodyState3DExtension	_add_constant_torque(torque: Vector3) -> void	
_add_frame	EngineProfiler	_add_frame(data: Array) -> void	Called when data is added to profiler using [method EngineDebugger.profiler_add_frame_data].
_add_global_constant	ScriptLanguageExtension	_add_global_constant(name: StringName, value: Variant) -> void	
_add_ice_candidate	WebRTCPeerConnectionExtension	_add_ice_candidate(p_sdp_mid_name: String, p_sdp_mline_index: int, p_sdp_name: String) -> enum::Error	
_add_named_global_constant	ScriptLanguageExtension	_add_named_global_constant(name: StringName, value: Variant) -> void	
_apply_central_force	PhysicsDirectBodyState2DExtension	_apply_central_force(force: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_central_force].
_apply_central_force	PhysicsDirectBodyState3DExtension	_apply_central_force(force: Vector3) -> void	
_apply_central_impulse	PhysicsDirectBodyState2DExtension	_apply_central_impulse(impulse: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_central_impulse].
_apply_central_impulse	PhysicsDirectBodyState3DExtension	_apply_central_impulse(impulse: Vector3) -> void	
_apply_changes	EditorPlugin	_apply_changes() -> void	This method is called when the editor is about to save the project, switch to another tab, etc. It asks the plugin to apply any pending state changes to ensure consistency. This is used, for example, in shader editors to let the plugin know that it must apply the shader code being written by the user to the object.
_apply_force	PhysicsDirectBodyState2DExtension	_apply_force(force: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_force].
_apply_force	PhysicsDirectBodyState3DExtension	_apply_force(force: Vector3, position: Vector3) -> void	
_apply_impulse	PhysicsDirectBodyState2DExtension	_apply_impulse(impulse: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_impulse].
_apply_impulse	PhysicsDirectBodyState3DExtension	_apply_impulse(impulse: Vector3, position: Vector3) -> void	
_apply_torque	PhysicsDirectBodyState2DExtension	_apply_torque(torque: float) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_torque].
_apply_torque	PhysicsDirectBodyState3DExtension	_apply_torque(torque: Vector3) -> void	
_apply_torque_impulse	PhysicsDirectBodyState2DExtension	_apply_torque_impulse(impulse: float) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_torque_impulse].
_apply_torque_impulse	PhysicsDirectBodyState3DExtension	_apply_torque_impulse(impulse: Vector3) -> void	
_area_add_shape	PhysicsServer2DExtension	_area_add_shape(area: RID, shape: RID, transform: Transform2D, disabled: bool) -> void	Overridable version of [method PhysicsServer2D.area_add_shape].
_area_add_shape	PhysicsServer3DExtension	_area_add_shape(area: RID, shape: RID, transform: Transform3D, disabled: bool) -> void	
_area_attach_canvas_instance_id	PhysicsServer2DExtension	_area_attach_canvas_instance_id(area: RID, id: int) -> void	Overridable version of [method PhysicsServer2D.area_attach_canvas_instance_id].
_area_attach_object_instance_id	PhysicsServer2DExtension	_area_attach_object_instance_id(area: RID, id: int) -> void	Overridable version of [method PhysicsServer2D.area_attach_object_instance_id].
_area_attach_object_instance_id	PhysicsServer3DExtension	_area_attach_object_instance_id(area: RID, id: int) -> void	
_area_clear_shapes	PhysicsServer2DExtension	_area_clear_shapes(area: RID) -> void	Overridable version of [method PhysicsServer2D.area_clear_shapes].
_area_clear_shapes	PhysicsServer3DExtension	_area_clear_shapes(area: RID) -> void	
_area_create	PhysicsServer2DExtension	_area_create() -> RID	Overridable version of [method PhysicsServer2D.area_create].
_area_create	PhysicsServer3DExtension	_area_create() -> RID	
_area_get_canvas_instance_id	PhysicsServer2DExtension	_area_get_canvas_instance_id(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_canvas_instance_id].
_area_get_collision_layer	PhysicsServer2DExtension	_area_get_collision_layer(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_collision_layer].
_area_get_collision_layer	PhysicsServer3DExtension	_area_get_collision_layer(area: RID) -> int	
_area_get_collision_mask	PhysicsServer2DExtension	_area_get_collision_mask(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_collision_mask].
_area_get_collision_mask	PhysicsServer3DExtension	_area_get_collision_mask(area: RID) -> int	
_area_get_object_instance_id	PhysicsServer2DExtension	_area_get_object_instance_id(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_object_instance_id].
_area_get_object_instance_id	PhysicsServer3DExtension	_area_get_object_instance_id(area: RID) -> int	
_area_get_param	PhysicsServer2DExtension	_area_get_param(area: RID, param: enum::PhysicsServer2D.AreaParameter) -> Variant	Overridable version of [method PhysicsServer2D.area_get_param].
_area_get_param	PhysicsServer3DExtension	_area_get_param(area: RID, param: enum::PhysicsServer3D.AreaParameter) -> Variant	
_area_get_shape	PhysicsServer2DExtension	_area_get_shape(area: RID, shape_idx: int) -> RID	Overridable version of [method PhysicsServer2D.area_get_shape].
_area_get_shape	PhysicsServer3DExtension	_area_get_shape(area: RID, shape_idx: int) -> RID	
_area_get_shape_count	PhysicsServer2DExtension	_area_get_shape_count(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_shape_count].
_area_get_shape_count	PhysicsServer3DExtension	_area_get_shape_count(area: RID) -> int	
_area_get_shape_transform	PhysicsServer2DExtension	_area_get_shape_transform(area: RID, shape_idx: int) -> Transform2D	Overridable version of [method PhysicsServer2D.area_get_shape_transform].
_area_get_shape_transform	PhysicsServer3DExtension	_area_get_shape_transform(area: RID, shape_idx: int) -> Transform3D	
_area_get_space	PhysicsServer2DExtension	_area_get_space(area: RID) -> RID	Overridable version of [method PhysicsServer2D.area_get_space].
_area_get_space	PhysicsServer3DExtension	_area_get_space(area: RID) -> RID	
_area_get_transform	PhysicsServer2DExtension	_area_get_transform(area: RID) -> Transform2D	Overridable version of [method PhysicsServer2D.area_get_transform].
_area_get_transform	PhysicsServer3DExtension	_area_get_transform(area: RID) -> Transform3D	
